card_id,cost,provides,type,card_name,age,card_weight,Reason,discard_weight
36,2x_Wood,1x_Wood_OR_1x_Stone_OR_1x_Ore_OR_1x_Clay,commercial_structure,Caravansery,2,5,great for military strategy since allows a raw_material,
37,-,1x_Coin_per_Raw_Material_in_the_neighboring_cities_AND_in_your_own_city,commercial_structure,Vineyard,2,3*,Trading Post = 1 && neighboor have a lot of raw_material? weight = 3 : weight = 1,
38,-,2x_Coin_per_manufactured_Good_in_the_neighboring_cities_AND_in_your_own_city,commercial_structure,Bazar,2,1*,do you have (your_manufacture_good + neighboor_manufacture_good) >= 4? weight = 3 : 1,
39,1x_Wood_AND_1x_Ore_AND_1x_Cloth,1x_Victory_points_AND_+1_Coin_per_Raw_Material_in_your_own_city,commercial_structure,Haven,3,1*,do you have raw_material >= 4? weight = 3 : 1,
40,1x_Stone_AND_1x_Glass,1x_Victory_points_AND_+1_Coin_per_Commercial_Structure_in_your_own_city,commercial_structure,Lighthouse,3,1*,do you have commercial_structure >=4? weight = 3 : 1,
41,2x_Stone_AND_1x_Papyrus,2x_Victory_points_AND_+2_Coin_per_Manufactured_Good_in_your_own_city,commercial_structure,Chamber_of_Commerce,3,1*,do you have manufacture_good >= 2? weight = 3 : 1,
42,2x_Stone_AND_1x_Ore,1x_Victory_points_AND_+3_Coin_per_Wonder_stage_constructed_i_nyour_own_city,commercial_structure,Arena,3,1*,do you need money && wonder_stage >= 2? weight = 3 : 1,
43,1x_Wood,1x_Shields,military_structure,Stockade,1,5*,military cards < 1? weight = 5 : military cards < 2? weight = 4 : 1,
44,1x_Ore,1x_Shields,military_structure,Barracks,1,5*,military cards < 1? weight = 5 : military cards < 2? weight = 4 : 1,
45,1x_Clay,1x_Shields,military_structure,Guard_Tower,1,5*,military cards < 1? weight = 5 : military cards < 2? weight = 4 : 1,
46,3x_Stone,2x_Shields,military_structure,Walls,2,4*,military_structure (age 2) < 1 || if you aren't the military leader? weight = 4 : 1,
47,1x_Wood_AND_2x_Ore,2x_Shields,military_structure,Training_Ground,2,4*,military_structure (age 2) < 1 || if you aren't the military leader? weight = 4 : 1,
48,1x_Ore_AND_1x_Clay_AND_1x_Wood,2x_Shields,military_structure,Stables,2,4*,military_structure (age 2) < 1 || if you aren't the military leader? weight = 4 : 1,
49,2x_Wood_AND_1x_Ore,2x_Shields,military_structure,Archery_Range,2,4*,military_structure (age 2) < 1 || if you aren't the military leader? weight = 4 : 1,
50,1x_Stone_AND_3x_Ore,3x_Shields,military_structure,Fortifications,3,1*,you need this card for win? weight = 4 : weight = 1,1*
51,3x_Stone_AND_1x_Ore,3x_Shields,military_structure,Circus,3,1*,you need this card for win? weight = 4 : weight = 1,1*
52,1x_Ore_AND_2x_Wood_AND_1x_Cloth,3x_Shields,military_structure,Arsenal,3,1*,you need this card for win? weight = 4 : weight = 1,1*
53,1x_Wood_AND_3x_Clay,3x_Shields,military_structure,Siege_Workshop,3,1*,you need this card for win? weight = 4 : weight = 1,1*
54,1x_Cloth,1x_Compass,scientific_structure,Apothecary,1,1,for mad scientist,
55,1x_Glass,1x_Gear,scientific_structure,Workshop,1,1,for mad scientist,
56,1x_Papyrus,1x_Tablet,scientific_structure,Scriptorium,1,1,for mad scientist,3
57,2x_Ore_AND_1x_Glass,1x_Compass,scientific_structure,Dispensary,2,1,for mad scientist,
58,2x_Clay_AND_1x_Papyrus,1x_Gear,scientific_structure,Laboratory,2,1,for mad scientist,
59,2x_Stone_AND_1x_Cloth,1x_Tablet,scientific_structure,Library,2,1,for mad scientist,
60,1x_Wood_AND_1x_Papyrus,1x_Tablet,scientific_structure,School,2,1,for mad scientist,
61,2x_Clay_AND_1x_Cloth_AND_1x_Papyrus,1x_Compass,scientific_structure,Lodge,3,1,for mad scientist,
62,2x_Ore_AND_1x_Glass_AND_1x_Cloth,1x_Gear,scientific_structure,Observatory,3,1,for mad scientist,
63,2x_Wood_AND_1x_Papyrus_AND_1x_Glass,1x_Tablet,scientific_structure,University,3,1,for mad scientist,
64,3x_Stone_AND_1x_Glass_,1x_Compass,scientific_structure,Academy,3,1,for mad scientist,
65,1x_Wood_AND_1x_Papyrus_AND_1x_Cloth,1x_Gear,scientific_structure,Study,3,1,for mad scientist,
66,1x_Wood_AND_1x_Stone_AND_1x_Clay_AND_2x_Ore,1 Ponto de Vitória por cartas marrons nos vizinhos da esquerda e direita,guild,Workers_Guild,3,,,
67,2x_Stone_AND_2x_Ore,2 Pontos de Vitória por cartas cinzas nos vizinhos da esquerda e direita,guild,Craftsmens_Guild,3,,,
68,1x_Cloth_AND_1x_Papyrus_AND_1x_Glass,1 Ponto de Vitória por cartas amarelas nos vizinhos da esquerda e direita,guild,Traders_Guild,3,,,
69,3x_Clay_AND_1x_Papyrus_AND_1x_Cloth,1 Ponto de Vitória por cartas verdes nos vizinhos da esquerda e direita,guild,Philosophers_Guild,3,,,
70,3x_Clay_AND_1x_Glass,1 Ponto de Vitória por cartas vermelhas nos vizinhos da esquerda e direita,guild,Spies_Guild,3,,,
71,3x_Wood_AND_1x_Stone_AND_1x_Cloth,1 Ponto de Vitória por cartas azuis nos vizinhos da esquerda e direita,guild,Magistrates_Guild,3,,,
72,3x_Wood_AND_1x_Papyrus_AND_1x_Glass,"1 Ponto de Vitória por cartas marrons, cinzas e roxas nos vizinhos da esquerda e direita",guild,Shipowners_Guild,3,,,
73,2x_Ore_AND_1x_Stone_AND_1x_Cloth,1 Ponto de Vitória por batalha perdida (token -1 ponto) nos vizinhos da esquerda e direita,guild,Strategists_Guild,3,,,
74,2x_Wood_AND_2x_Ore_AND_1x_Papyrus,Compass ou Gear ou Tablet (o mais vantagioso),guild,Scientists_Guild,3,1,for mad scientist,
75,2x_Stone_AND_2x_Clay_AND_1x_Glass,1 Ponto de Vitória por estágio construido da maravilha nos vizinhos da esquerda e direita e no jogador,guild,Builders_Guild,3,,,
